year,state,district,dem,rep,tot,incumbent,prevparty,voteage_pop,voteage_m,voteage_f,race_pop,race_white,race_black,race_asian,race_hisp,ed_pop,ed_ba,ed_grdeg,age_pop,age_20_24,age_25_34,age_35_44,age_45_54,age_55_59,age_60_64,age_18_plus,age_21_plus,age_65_plus,inc_pop,inc_less_10,inc_10_14,inc_15_24,inc_25_34,inc_35_49,inc_50_74,inc_75_99,inc_100_149,inc_150_199,inc_200_plus,"Gender,Male","Gender,Female","Age,18-29","Age,30-39","Age,40-49","Age,50-64","Age,65 and Older","Income,Less Than $50K","Income,$50-100K","Income,$100K or More","Race,White","Race,Black","Race,Latino","Race,Asian","Race,Other","Education,HS or less","Education,College Graduate","Education,Postgraduate"
2016,CA,45,129231,182618,311849,1,r,524363,253629,270734,774130,486619,17719,221834,140494,531901,181876,115749,774130,50674,100554,107032,119200,50433,43027,607931,569191,111655,276707,13082,6065,13675,15294,21650,38787,31818,53823,32791,49722,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,46,164593,0,164593,0,d,378269,185580,192689,736031,436360,17630,101076,488378,462893,65970,20530,736031,59894,127886,99088,94670,39308,31882,543019,510277,70059,185670,7194,5306,14802,18858,26216,40121,25242,28194,12748,6989,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,47,154759,88109,242868,1,d,467269,225645,241624,714311,375467,67588,167548,262376,481292,100086,53926,714311,53676,109239,96181,103048,44090,39478,553611,524680,89256,239498,12620,10075,23346,18915,27044,40507,33621,38026,16442,18902,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,48,127715,178701,306416,0,r,523192,254102,269090,727100,506299,13366,143417,156640,525500,149881,84290,727100,44072,100981,87936,108667,54949,49723,583865,561799,123244,265180,10045,7291,14185,16870,24451,38931,35652,50345,26650,40760,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,49,154267,155888,310155,1,r,513299,256780,256519,739697,602947,22471,65769,199327,492326,137148,79572,739697,52983,101466,88639,103395,48006,41463,564599,535718,109357,256731,9605,5787,16798,17146,28711,43562,27964,42632,23586,40940,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,5,224526,67565,292091,1,d,516338,246467,269871,735968,457424,59626,103469,204489,519097,106891,55121,735968,49132,97022,94568,98709,50379,55486,585036,558814,122933,262302,10287,10567,17815,18864,29160,47568,34956,47219,24392,21474,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,50,103646,179937,283583,1,r,500665,248977,251688,751527,565672,36926,60022,236000,500105,94410,46403,751527,49871,103500,91512,102263,52516,45525,568997,541333,104789,238443,9440,8054,21100,17446,25879,41855,33888,43122,21326,16333,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,51,145162,54362,199524,1,d,423815,217920,205895,747202,497387,60583,67800,525778,469521,46855,19441,747202,65566,123318,90921,92774,37868,39578,559186,522093,85062,201097,12647,15298,26001,23090,28945,39451,23413,22291,5861,4100,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,52,181253,139403,320656,1,d,538549,272094,266455,750537,522076,28867,178055,101718,525905,174580,127336,750537,58745,128381,107382,92880,47422,42045,603676,572814,107795,281618,12668,9128,15764,14905,25014,41282,35127,57342,29986,40402,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
2016,CA,53,198988,97968,296956,1,d,537673,268751,268922,766812,497068,76827,131707,260027,530649,129790,71013,766812,63888,144116,107653,96220,43511,40988,614114,580356,98161,268519,11978,8835,20263,20350,33386,48055,37061,47324,22719,18548,-12,10,14,9,-7,-10,-8,14,-4,-7,-22,78,35,31,15,-6,-2,13
