year,state,district,age_pop,allage_m,allage_f,age_18_plus,allage_citzenpct,race_pop,race_white,race_black,race_asian,race_hisp,ed_pop,ed_ba,ed_grdeg,age_20_24,age_25_34,age_35_44,age_45_54,age_55_59,age_60_64,age_21_plus,age_65_plus,inc_pop,inc_less_10,inc_10_14,inc_15_24,inc_25_34,inc_35_49,inc_50_74,inc_75_99,inc_100_149,inc_150_199,inc_200_plus
2012,CA,6,714536,347996,366540,541964,47.4,714536,382125,113451,128338,194241,458231,76984,39030,64750,116036,93853,91084,42083,36114,510303,79061,261139,23540,20682,32437,27407,34969,46364,30720,28684,8909,7427
2012,CA,7,719962,355487,364475,538228,42.9,719962,465443,67976,129267,116920,477393,100380,48471,43144,97134,97635,102797,45473,40678,510921,93676,253645,13909,12762,22302,22903,32450,46353,32778,42970,14953,12265
2012,CA,8,708578,353674,354904,509933,55.8,708578,510793,79570,24737,252943,430151,38526,23810,55549,88272,91297,85560,43516,38154,472274,83352,222911,20382,16023,28744,25632,34728,38344,24828,24962,5752,3516
2012,CA,9,724666,357768,366898,516763,51.3,724666,404615,77060,126609,279209,441382,63050,25477,51750,92626,94346,98131,41497,36305,481104,78477,223576,15649,13004,24747,23553,28256,40261,26877,29745,12701,8783
2012,CO,1,750153,374549,375604,587322,65.4,750153,581901,74757,34005,212510,519119,144148,86547,51639,151344,110220,93764,45738,39056,562373,78997,318312,26413,18694,31817,34345,41004,54127,38231,36962,17330,19389
2012,CO,2,743592,370870,372722,592608,52.6,743592,672359,9996,29444,73053,494642,154404,104808,70056,97966,95852,109781,56244,47084,550468,87715,297209,16829,12564,25892,23645,36281,49079,39199,49095,24506,20119
2012,CO,3,720338,363772,356566,557152,67.3,720338,630284,10697,8369,175749,489147,90806,51321,45727,88494,90162,99151,55423,47660,527165,108257,285443,21911,15640,34755,33935,45771,54540,33936,27917,9581,7457
2012,CO,4,738491,373685,364806,543410,66.4,738491,655012,16192,17612,160834,475118,103076,50348,45382,91701,105738,104711,49334,39049,510163,84585,265749,16531,10635,25558,23149,34795,48707,37263,40070,14000,15041
2012,CO,5,740514,376137,364377,560455,49.8,740514,614930,56830,30411,109989,481500,99897,60155,57638,108357,92120,105424,50137,39356,526621,86106,275383,16211,12016,30415,26398,41099,52725,35547,37730,13763,9479
2012,CO,6,748467,370570,377897,548898,57.0,748467,570255,81889,48922,150540,487790,125331,68433,43169,106594,110025,106925,48063,39149,521311,77034,272236,14022,8120,21118,25272,34438,54844,34613,45694,17328,16787
2012,CO,7,746027,371787,374240,566430,61.4,746027,651932,14329,31769,206067,497338,100807,50925,51710,112108,104615,105911,47073,39386,538682,88245,281756,16353,12197,25391,26159,39297,57529,41847,40220,11598,11165
2012,CT,1,723908,351752,372156,566293,47.3,723908,526395,123091,37845,109534,502674,96428,76971,44582,91121,92252,110931,53021,44259,536965,111090,283536,20397,14692,23390,24584,30016,51273,37748,46602,18392,16442
2012,CT,2,709756,354364,355392,564821,46.7,709756,623903,36812,28518,51948,484490,90456,73972,54134,77649,89466,114356,49008,46300,525170,107711,267233,10349,9727,21549,21574,31781,47162,38627,49968,21067,15429
